price_name,product_author,product_price,product_imagelink
The Hill We Climb and Other Poems,Amanda Gorman,$15.99,https://images-na.ssl-images-amazon.com/images/G/01/gno/sprites/nav-sprite-global-1x-hm-dsk-reorg._CB405937547_.png
Change Sings: A Children's Anthem,Amanda Gorman,$16.95,"https://images-na.ssl-images-amazon.com/images/I/71p8uThTUlL._AC_UL200_SR200,200_.jpg"
The Hill We Climb: An Inaugural Poem for the Country,Amanda Gorman,$14.39,"https://images-na.ssl-images-amazon.com/images/I/91wRcPETM0L._AC_UL200_SR200,200_.jpg"
The Step-by-Step Instant Pot Cookbook: 100 Simple Recipes for Spectacular Results -- with Photographs of Every Step,Jeffrey Eisner,$12.69,"https://images-na.ssl-images-amazon.com/images/I/716zRCJKTFL._AC_UL200_SR200,200_.jpg"
The Push: A Novel,Ashley Audrain,$17.95,"https://images-na.ssl-images-amazon.com/images/I/816cz0x-2vL._AC_UL200_SR200,200_.jpg"
A Promised Land,Barack Obama,$23.96,"https://images-na.ssl-images-amazon.com/images/I/81BOWe5FzRL._AC_UL200_SR200,200_.jpg"
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,$11.98,"https://images-na.ssl-images-amazon.com/images/I/91uwocAMtSL._AC_UL200_SR200,200_.jpg"
1984 (Signet Classics),George Orwell,$7.48,"https://images-na.ssl-images-amazon.com/images/I/91pR9wKJ3zL._AC_UL200_SR200,200_.jpg"
Ambitious Girl,Meena Harris,$14.86,"https://images-na.ssl-images-amazon.com/images/I/71kxa1-0mfL._AC_UL200_SR200,200_.jpg"
Keep Sharp: Build a Better Brain at Any Age,Sanjay Gupta M.D.,$16.88,"https://images-na.ssl-images-amazon.com/images/I/61zcFAIwgRL._AC_UL200_SR200,200_.jpg"
Poke-a-Dot: 10 Little Monkeys,LLC Melissa & Doug,$5.99,"https://images-na.ssl-images-amazon.com/images/I/7184Pp9Y-oL._AC_UL200_SR200,200_.jpg"
